Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
login_SubmitPoolingOrder_Logout,,"Sehati Mobile Automation Test 
Login, Submit Pooling Order, dan Logout dari Aplikasi",,2023-08-30 14:07:05,2023-08-30 14:09:52,2m - 46.189s,PASSED
,,,,,,,
Test Cases/loginSehatiMobile(CMO),,,,2023-08-30 14:07:06,2023-08-30 14:08:14,1m - 8.013s,PASSED
"startExistingApplication(""id.pkp.sehati.uat"")",,,,2023-08-30 14:07:07,2023-08-30 14:07:39,31.680s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.EditText - NPK""), 0)",,,,2023-08-30 14:07:39,2023-08-30 14:07:40,1.207s,PASSED
"sendKeys(findTestObject(""Object Repository/loginPage/android.widget.EditText - NPKMasukan NPK""), ""220885"")",,,,2023-08-30 14:07:40,2023-08-30 14:07:42,1.973s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.EditText - Kata Sandi""), 0)",,,,2023-08-30 14:07:42,2023-08-30 14:07:44,1.642s,PASSED
"sendKeys(findTestObject(""Object Repository/loginPage/android.widget.EditText - Kata SandiMasukan Kata Sandi""), ""12345678"")",,,,2023-08-30 14:07:44,2023-08-30 14:07:44,0.421s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.Button""), 0)",,,,2023-08-30 14:07:44,2023-08-30 14:07:47,2.678s,PASSED
"delay(25, STOP_ON_FAILURE)",,,,2023-08-30 14:07:47,2023-08-30 14:08:12,25.071s,PASSED
"tap(findTestObject(""Object Repository/loginPage/android.widget.ButtonOkSetelahLogin""), 15)",,,,2023-08-30 14:08:12,2023-08-30 14:08:14,2.319s,PASSED
,,,,,,,
Test Cases/poolingOrder/submitPoolingNEW,,Sehati Mobile Automated Test,,2023-08-30 14:08:14,2023-08-30 14:09:39,1m - 24.577s,PASSED
"tap(findTestObject(""homePage/buttonAcquisition""), 0)",,,,2023-08-30 14:08:15,2023-08-30 14:08:17,1.824s,PASSED
"tap(findTestObject(""acquisitionPage/buttonPoolingOrder""), 0)",,,,2023-08-30 14:08:17,2023-08-30 14:08:20,2.742s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonUnitBisnisDDL""), 0)",,,,2023-08-30 14:08:20,2023-08-30 14:08:20,0.416s,PASSED
"delay(1.5, STOP_ON_FAILURE)",,,,2023-08-30 14:08:20,2023-08-30 14:08:22,1.505s,PASSED
"radioButton1TapAtPosition(970, 1360)",,,,2023-08-30 14:08:22,2023-08-30 14:08:22,0.001s,PASSED
"tapAtPosition(x, y)",,,,2023-08-30 14:08:22,2023-08-30 14:08:23,1.120s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonOkDDL""), 0)",,,,2023-08-30 14:08:23,2023-08-30 14:08:23,0.418s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonCA_AnggotaDDL""), 0)",,,,2023-08-30 14:08:23,2023-08-30 14:08:25,1.602s,PASSED
"delay(1.5, STOP_ON_FAILURE)",,,,2023-08-30 14:08:25,2023-08-30 14:08:26,1.520s,PASSED
"radioButton1TapAtPosition(970, 1360)",,,,2023-08-30 14:08:26,2023-08-30 14:08:26,0.001s,PASSED
"tapAtPosition(x, y)",,,,2023-08-30 14:08:26,2023-08-30 14:08:27,0.725s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonOkDDL""), 0)",,,,2023-08-30 14:08:27,2023-08-30 14:08:28,0.766s,PASSED
"delay(1, STOP_ON_FAILURE)",,,,2023-08-30 14:08:28,2023-08-30 14:08:29,1.005s,PASSED
"tap(findTestObject(""poolingOrderPage/buttonKonsumenNewDDL""), 0)",,,,2023-08-30 14:08:29,2023-08-30 14:08:29,0.320s,PASSED
"delay(0.5, STOP_ON_FAILURE)",,,,2023-08-30 14:08:29,2023-08-30 14:08:30,0.517s,PASSED
